RECUPERATE_DATE,COUNT(RECUPERATE_DATE)
20120102,61
20120103,75
20120104,81
20120105,71
20120106,85
20120107,40
20120108,3
20120109,86
20120110,93
20120111,70
20120112,81
20120113,68
20120114,50
20120115,1
20120116,88
20120117,112
20120118,76
20120119,94
20120120,105
20120121,52
20120122,1
20120125,105
20120126,84
20120127,80
20120128,43
20120130,85
20120131,89
20120201,74
20120202,85
20120203,72
20120204,40
20120206,97
20120207,85
20120208,62
20120209,81
20120210,73
20120211,37
20120212,1
20120213,106
20120214,91
20120215,71
20120216,103
20120217,83
20120218,28
20120219,2
20120220,108
20120221,75
20120222,79
20120223,79
20120224,78
20120225,57
20120227,97
20120228,103
20120229,79
20120301,2
20120302,110
20120303,53
20120305,101
20120306,82
20120307,87
20120308,102
20120309,71
20120310,56
20120312,95
20120313,95
20120314,93
20120315,71
20120316,86
20120317,36
20120318,1
20120319,93
20120320,90
20120321,70
20120322,87
20120323,66
20120324,44
20120326,98
20120327,111
20120328,77
20120329,65
20120330,93
20120331,34
20120401,1
20120402,84
20120403,102
20120404,96
20120405,100
20120406,96
20120407,46
20120409,122
20120410,110
20120411,36
20120412,75
20120413,89
20120414,45
20120416,98
20120417,97
20120418,77
20120419,90
20120420,83
20120421,52
20120423,112
20120424,101
20120425,71
20120426,97
20120427,78
20120428,52
20120430,105
20120501,49
20120502,107
20120503,91
20120504,118
20120505,2
20120507,116
20120508,99
20120509,88
20120510,83
20120511,82
20120512,59
20120514,106
20120515,104
20120516,75
20120517,101
20120518,94
20120519,44
20120521,116
20120522,98
20120523,92
20120524,107
20120525,95
20120526,58
20120527,1
20120528,1
20120529,129
20120530,81
20120531,101
20120601,99
20120602,45
20120603,1
20120604,116
20120605,115
20120606,4
20120607,113
20120608,86
20120609,31
20120611,100
20120612,103
20120613,81
20120614,79
20120615,75
20120616,48
20120618,102
20120619,99
20120620,74
20120621,89
20120622,100
20120623,45
20120624,2
20120625,78
20120626,82
20120627,77
20120628,86
20120629,64
20120630,32
20120701,1
20120702,110
20120703,102
20120704,90
20120705,98
20120706,90
20120707,54
20120709,104
20120710,107
20120711,79
20120712,95
20120713,84
20120714,40
20120716,96
20120717,96
20120718,80
20120719,93
20120720,89
20120721,50
20120723,94
20120724,87
20120725,73
20120726,100
20120727,106
20120728,34
20120730,98
20120731,93
20120801,83
20120802,73
20120803,75
20120804,26
20120806,117
20120807,100
20120808,84
20120809,87
20120810,82
20120811,47
20120812,1
20120813,99
20120814,122
20120815,3
20120816,108
20120817,89
20120818,41
20120819,1
20120820,120
20120821,93
20120822,87
20120823,94
20120824,93
20120825,57
20120827,124
20120828,66
20120829,81
20120830,79
20120831,102
20120901,65
20120902,1
20120903,112
20120904,96
20120905,97
20120906,107
20120907,95
20120908,41
20120910,113
20120911,100
20120912,69
20120913,77
20120914,82
20120915,46
20120916,1
20120917,101
20120918,101
20120919,93
20120920,106
20120921,102
20120922,57
20120924,148
20120925,112
20120926,105
20120927,103
20120928,100
20120929,2
20121001,1
20121002,96
20121003,2
20121004,144
20121005,126
20121006,77
20121008,110
20121009,121
20121010,104
20121011,93
20121012,97
20121013,40
20121015,105
20121016,81
20121017,85
20121018,86
20121019,84
20121020,46
20121022,126
20121023,84
20121024,103
20121025,92
20121026,84
20121027,43
20121028,1
20121029,104
20121030,101
20121031,69
20121101,99
20121102,97
20121103,63
20121104,1
20121105,131
20121106,108
20121107,74
20121108,90
20121109,81
20121110,46
20121111,1
20121112,119
20121113,100
20121114,76
20121115,106
20121116,99
20121117,41
20121119,103
20121120,110
20121121,114
20121122,86
20121123,86
20121124,33
20121126,115
20121127,97
20121128,82
20121129,102
20121130,111
20121201,32
20121203,111
20121204,107
20121205,93
20121206,74
20121207,81
20121208,45
20121209,1
20121210,104
20121211,110
20121212,98
20121213,89
20121214,82
20121215,55
20121217,125
20121218,122
20121219,29
20121220,87
20121221,89
20121222,47
20121223,2
20121224,115
20121225,4
20121226,114
20121227,97
20121228,91
20121229,49
20121231,117
