RECUPERATE_DATE,DOSE_DAYS_SUM,RECUPERATE_DATE_1,temp_diff,ilsahap_mj_m2,ilsohap_hr
20120102,595,20120102,7.1,6.16,5.9
20120103,573,20120103,6.6,4.46,2.7
20120104,398,20120104,5.3,8.05,8.1
20120105,605,20120105,8.5,9.14,9
20120106,681,20120106,6.9,8.57,8.4
20120107,173,20120107,10,8.26,8.5
20120108,10,20120108,5.9,4.81,2.8
20120109,335,20120109,4.5,5.34,2.4
20120110,448,20120110,7.3,7.51,6.6
20120111,208,20120111,4.8,9.28,9
20120112,857,20120112,9.9,6.95,6.3
20120113,541,20120113,6.7,7.45,6.7
20120114,145,20120114,9,8.79,8.7
20120116,457,20120116,12.9,8.99,9.1
20120117,684,20120117,8.2,7.04,5.2
20120118,226,20120118,7.6,6.8,4.6
20120119,1075,20120119,7,4.23,0.3
20120120,647,20120120,4.6,4.17,0.9
20120121,77,20120121,8.3,4.34,0
20120122,10,20120122,9.2,10.49,9
20120125,552,20120125,6.6,11.23,9.5
20120126,516,20120126,10.3,8.19,7.5
20120127,547,20120127,9.3,5.67,2.9
20120128,202,20120128,9.1,9.34,7.1
20120130,459,20120130,8,11.29,9.5
20120131,686,20120131,8.2,3.53,1.9
20120201,466,20120201,7.2,12.09,9.5
20120202,678,20120202,7.6,11.97,9.6
20120203,743,20120203,10.6,11.61,9.4
20120204,174,20120204,6.2,11.66,9.5
20120206,781,20120206,10.2,8.12,4.3
20120207,207,20120207,11.4,12.61,9.6
20120208,517,20120208,8.3,11.72,9.6
20120209,737,20120209,8.5,11.26,9.2
20120210,539,20120210,8.6,9.13,7.8
20120211,97,20120211,10,12.82,9.7
20120212,21,20120212,9.8,12.56,8.9
20120213,555,20120213,8.2,9.1,5.2
20120214,738,20120214,8.6,11.19,7.5
20120215,592,20120215,7.1,11.6,8.2
20120216,1026,20120216,8.8,12.97,9.6
20120217,446,20120217,5.9,11.51,8.3
20120218,161,20120218,7.4,13.84,9.8
20120220,464,20120220,10.8,12.33,9.6
20120221,298,20120221,6.4,5.42,0.5
20120222,505,20120222,12.9,12.03,8.7
20120223,480,20120223,7.1,9.79,5.8
20120224,318,20120224,9.5,8.89,4.7
20120225,234,20120225,7.3,8.62,3.6
20120227,708,20120227,11.1,15.1,10.5
20120228,588,20120228,10.5,9.24,3.5
20120229,558,20120229,13.3,13.54,9.2
20120301,28,20120301,10.6,13.24,7.7
20120302,520,20120302,4.3,5.47,2.1
20120303,185,20120303,10.2,12.99,8.9
20120305,651,20120305,5.4,3.76,0
20120306,508,20120306,2.8,1.66,0
20120307,417,20120307,7.9,12.11,7.2
20120308,644,20120308,5.5,10.7,4
20120309,732,20120309,11.2,11.14,5.3
20120310,142,20120310,7.6,13.7,7
20120312,624,20120312,8.9,18.2,11.2
20120313,982,20120313,10.1,15.5,9.2
20120314,714,20120314,4.1,2.94,0.3
20120315,550,20120315,13.5,17.19,10.4
20120316,548,20120316,7.2,6.41,0
20120317,65,20120317,9.3,12.65,5.5
20120319,346,20120319,7.7,15.36,9.8
20120320,533,20120320,10.2,18.95,11.3
20120321,450,20120321,10.9,18.93,11
20120322,676,20120322,8.1,9.92,2
20120323,303,20120323,7.4,1.38,0
20120324,280,20120324,5.4,13.08,7.5
20120326,679,20120326,8.9,19.83,11.6
20120327,654,20120327,9.9,9.92,4.9
20120328,570,20120328,9.4,14.83,8.2
20120329,437,20120329,10.3,11.61,4.9
20120330,557,20120330,6.1,4.02,0
20120331,121,20120331,7.6,15.87,10.2
20120402,339,20120402,10.6,5.81,0.2
20120403,870,20120403,8.3,5.81,2.9
20120404,532,20120404,10.6,17.62,10.5
20120405,573,20120405,9.1,20.07,11.7
20120406,414,20120406,7,17.62,7.8
20120407,108,20120407,11.8,21.6,12
20120409,841,20120409,11.7,18.81,8.4
20120410,733,20120410,5.4,3.57,0
20120411,122,20120411,8.3,11.26,5.4
20120412,463,20120412,7.1,12.43,4.3
20120413,549,20120413,7.7,10.91,1
20120414,143,20120414,10.5,18.26,8.1
20120416,508,20120416,10.7,17.98,8
20120417,659,20120417,12.2,20.86,11.9
20120418,278,20120418,12.1,15.75,7.8
20120419,507,20120419,12.1,17.84,8.3
20120420,267,20120420,10.2,18.54,9.3
20120421,128,20120421,6.8,2.56,0
20120423,691,20120423,8.2,6.32,0.6
20120424,932,20120424,14.4,18.71,9.2
20120425,400,20120425,10.2,1.82,0
20120426,460,20120426,8.8,23.44,12.7
20120427,483,20120427,14.5,21.43,11.9
20120428,177,20120428,8.3,19.21,8.9
20120430,675,20120430,14,23.01,12.4
20120501,180,20120501,11,16.74,6.4
20120502,457,20120502,10.1,19.26,10
20120503,676,20120503,8.4,19.2,9.6
20120504,605,20120504,11.4,22.82,12.2
20120507,533,20120507,12.7,20.96,10.2
20120508,389,20120508,13.8,19.51,9
20120509,627,20120509,12.4,21.08,10.7
20120510,472,20120510,11.1,19.37,11.1
20120511,382,20120511,6,7.96,0.4
20120512,91,20120512,6.7,12.1,1.8
20120514,698,20120514,2.1,1.97,0
