지점,일자,일최고 기온 (℃),일최저 기온 (℃),기온차,일강수량,평균해면기압,평균습도,일사합,일조합
42,2002-01-01,-2.1,-9,6.9,,1020,58,2.2,5.7
42,2002-01-02,-7.1,-19.8,12.7,,1023.3,51,10.76,8.1
42,2002-01-03,-3.9,-20.7,16.8,,1023.7,63,8.81,8
42,2002-01-04,3.1,-9.7,12.8,1.7,1013.3,78,0.93,0
42,2002-01-05,2.9,-9.2,12.1,,1020.3,59,9.05,8.3
42,2002-01-06,2.2,-13.3,15.5,,1024.2,72,8.74,8.1
42,2002-01-07,1,-8.3,9.3,3.9,1015.3,63,6.29,3.4
42,2002-01-08,-3.5,-14.2,10.7,,1021.9,50,8.78,8.2
42,2002-01-09,-1.7,-17.1,15.4,,1025.2,69,8.88,8.2
42,2002-01-10,-0.5,-6.2,5.7,0,1014.5,74,0.37,0
42,2002-01-11,8,-6.7,14.7,,1016.9,75,7.5,6.6
42,2002-01-12,5.6,-7.2,12.8,,1021,80,6.32,5.9
42,2002-01-13,9.1,-2,11.1,,1023.7,72,4.03,0.9
42,2002-01-14,5.9,2.3,3.6,4.3,1021.7,89,1.74,0
42,2002-01-15,8.4,4.2,4.2,23.8,1015.4,94,0.59,0
42,2002-01-16,8.4,1.7,6.7,13.6,1013.4,76,0.9,0
42,2002-01-17,4,0,4,1.5,1018.2,88,2.9,0
42,2002-01-18,5,-1.9,6.9,,1022.7,83,5.19,3.3
42,2002-01-19,7.2,-3,10.2,,1024.6,87,6.35,3.3
42,2002-01-20,3.8,-0.3,4.1,5.6,1020.4,90,1.48,0
42,2002-01-21,2.8,-3.8,6.6,0,1014.5,74,4.78,1.6
42,2002-01-22,-2.8,-6.6,3.8,0,1017.4,52,8.34,6.3
42,2002-01-23,-0.2,-9.1,8.9,,1022.9,52,10.13,8.4
42,2002-01-24,1.8,-11.4,13.2,,1028.4,62,10.78,8.5
42,2002-01-25,2.8,-11,13.8,,1030.4,66,10.57,8.5
42,2002-01-26,0,-6.3,6.3,3.2,1023.5,83,1.64,0
42,2002-01-27,3.2,-3.7,6.9,2.5,1019.8,75,8.24,5.1
42,2002-01-28,0,-9.2,9.2,,1022.4,56,11.05,8.3
42,2002-01-29,2.8,-12.1,14.9,1,1023.1,61,12.05,8.9
42,2002-01-30,2.8,-9.8,12.6,1.1,1024.1,65,10.71,8.7
42,2002-01-31,2.6,-11.1,13.7,,1028.7,59,11.36,8.9
42,2002-02-01,2.3,-10.2,12.5,0,1027.3,72,7.07,3.6
42,2002-02-02,8.7,-3.5,12.2,,1026.1,68,9.65,7.4
42,2002-02-03,10.1,-6.5,16.6,,1028.9,67,11.81,8.8
42,2002-02-04,5.7,-6,11.7,,1025.9,72,6.42,2.5
42,2002-02-05,10.6,-4.4,15,,1019.5,64,9.99,8.2
